,holiday,temp,rain,snow,weather,date,Time,traffic_volume
0,7,288.28,0.0,0.0,1,02-10-2012,09:00:00,5545
1,7,289.36,0.0,0.0,1,02-10-2012,10:00:00,4516
2,7,289.58,0.0,0.0,1,02-10-2012,11:00:00,4767
3,7,290.13,0.0,0.0,1,02-10-2012,12:00:00,5026
4,7,291.14,0.0,0.0,1,02-10-2012,13:00:00,4918
5,7,291.72,0.0,0.0,0,02-10-2012,14:00:00,5181
6,7,293.17,0.0,0.0,0,02-10-2012,15:00:00,5584
7,7,293.86,0.0,0.0,0,02-10-2012,16:00:00,6015
8,7,294.14,0.0,0.0,1,02-10-2012,17:00:00,5791
9,7,293.1,0.0,0.0,1,02-10-2012,18:00:00,4770
10,7,290.97,0.0,0.0,1,02-10-2012,19:00:00,3539
11,7,289.38,0.0,0.0,0,02-10-2012,20:00:00,2784
12,7,288.61,0.0,0.0,0,02-10-2012,21:00:00,2361
13,7,287.16,0.0,0.0,0,02-10-2012,22:00:00,1529
14,7,285.45,0.0,0.0,0,02-10-2012,23:00:00,963
15,7,284.63,0.0,0.0,0,03-10-2012,00:00:00,506
16,7,283.47,0.0,0.0,0,03-10-2012,01:00:00,321
17,7,281.18,0.0,0.0,0,03-10-2012,02:00:00,273
18,7,281.09,0.0,0.0,0,03-10-2012,03:00:00,367
19,7,279.53,0.0,0.0,0,03-10-2012,04:00:00,814
20,7,278.62,0.0,0.0,0,03-10-2012,05:00:00,2718
21,7,278.23,0.0,0.0,0,03-10-2012,06:00:00,5673
22,7,278.12,0.0,0.0,0,03-10-2012,08:00:00,6511
23,7,281.2053507092272,0.0,0.0,0,03-10-2012,09:00:00,5471
24,7,291.97,0.0,0.0,0,03-10-2012,12:00:00,5097
25,7,293.23,0.0,0.0,0,03-10-2012,13:00:00,4887
26,7,294.31,0.0,0.0,0,03-10-2012,14:00:00,5337
27,7,295.17,0.0,0.0,0,03-10-2012,15:00:00,5692
28,7,295.13,0.0,0.0,0,03-10-2012,16:00:00,6137
29,7,281.2053507092272,0.0,0.0,1,03-10-2012,18:00:00,4623
30,7,290.65,0.0,0.0,1,03-10-2012,19:00:00,3591
31,7,288.19,0.0,0.0,1,03-10-2012,20:00:00,2898
32,7,287.1,0.0,0.0,0,03-10-2012,21:00:00,2637
33,7,286.25,0.0,0.0,0,03-10-2012,22:00:00,1777
34,7,285.26,0.0,0.0,0,03-10-2012,23:00:00,1015
35,7,284.55,0.0,0.0,0,04-10-2012,00:00:00,598
36,7,283.47,0.0,0.0,0,04-10-2012,01:00:00,369
37,7,283.17,0.0,0.0,0,04-10-2012,02:00:00,312
38,7,282.04,0.0,0.0,0,04-10-2012,03:00:00,367
39,7,281.69,0.0,0.0,0,04-10-2012,04:00:00,835
40,7,281.32,0.0,0.0,0,04-10-2012,05:00:00,2726
